1.09.2010,31.07.2010,30.06.2010,1.06.2010,1.05.2010,1.04.2010,4.03.2010,4.02.2010,2.01.2010,2.12.2009,3.11.2009,2.10.2009,2.09.2009,3.08.2009,1.07.2009,1.06.2009,5.05.2009,1.04.2009,3.03.2009,2.02.2009,2.01.2009
3312.4,3312.4,3277.7,3207.4,3145,3098.1,3032.8,2971.6,2900.4,2849,2814.4,2814.4,2813.9,2813.9,2812.7,2763.1,2712.5,2654.4,2601.6,2553.1,2486.4
3256.6,3256.6,3256.6,3256.6,3256.6,3256.6,3250.36,3219.18,3179.54,3112.69,3076.23,3012.83,3012.83,3012.83,3012.83,3012.83,2975.42,2876.1,2764.36,2651.3,2577.2
401.8,401.31,400.66,400.13,399.41,398.79,398.31,397.81,396.23,394.6,394.54,392.67,391.27,388.55,384.88,378.25,373.66,371.2,369.291,367.35,365.6
1020.64,1020.53,1020.39,1020.27,1020.07,1019.9,1019.78,1019.54,1019.08,1018.67,1018.39,1018.18,1017.91,1017.58,1017.27,1016.81,1016.25,1015.6,1015.2,1014.64,1014.3
,,,,,,,,,,,,,,,,,,,844.8,844.8
,,,,,,,,,,,,,,,,,,,283.077,283.077
10951.3,10881,10787,10709.3,10621.6,10541.1,10447.8,10376.3,10239.1,10112.8,10005,9871.6,9692.7,9501,9342.2,9110.9,8876.9,8639.4,8440.6,8216.9,7960.9
5375.18,5375.18,5374.99,5374.88,5343.57,5170.02,4996.7,4826.21,4622.11,4454.99,4303.51,4128.39,4117.49,4117.49,4117.49,4117.49,4048.49,3891.3,3739.4,3580.06,3410.2
63.63,63.13,63.13,63.11,63.11,62.99,62.99,62.99,62.97,62.21,60.6,58.98,57.72,56.59,55.82,54.3,52.94,51.46,50.78,49.94,48.6
644.45,644.36,644.36,644.36,644.36,643.63,643.63,643.63,643.63,643.63,642.09,642.09,641.68,641.31,641.13,640.62,640.09,639.6,639.08,638.82,638.4
,,,,,,,,,,,,,,,,,,,606.26,606.26
1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.67,1.66,1.66,1.64,1.64,1.64,1.64,1.64,1.64,1.63,1.6,1.6
4044,3998.5,3984.4,3973.9,3964.6,3954.4,3946.8,3938.7,3928.1,3859.5,3638.2,3566.9,3460.8,3352.7,3296.4,3188.6,3113.1,3054.1,2951.6,2865.3,2807.5
4546.84,4546.84,4546.84,4546.84,4546.84,4540.15,4506.12,4469.23,4328.79,4190.35,4063.8,3983.37,3982.87,3982.87,3982.87,3982.87,3975.88,3968.64,3928.75,3853.49,3734.9
24.82,24.77,24.71,24.63,24.54,24.5,24.5,24.5,24.47,24.42,24.35,24.29,24.27,24.25,24.23,24.09,23.94,23.88,23.86,23.81,17.2
